ano,mes,conselho,conta,conta_norm,soma_d,soma_c,n_lancamentos
2022,1,CFC,1.1.3.1.01.01.006,11310101006,2485.98,1314.23,3
2022,1,CFC,1.1.3.1.01.01.007,11310101007,0.0,1058.68,1
2022,1,CFC,1.1.3.1.01.01.008,11310101008,854.08,856.8,2
2022,1,CFC,1.1.3.1.03.01.001,11310301001,132919.21,133497.32,2
2022,1,CFC,1.1.3.1.03.01.002,11310301002,97687.06,97687.06,3
2022,1,CFC,1.1.3.1.03.01.003,11310301003,1610.52,1610.52,3
2022,1,CFC,1.1.3.1.03.01.004,11310301004,1287.31,1295.46,2
2022,1,CFC,1.1.3.3.01.05.009,11330105009,7078.33,0.0,1
2022,1,CFC,1.1.3.3.01.06.009,11330106009,1969.1,0.0,1
2022,1,CFC,1.1.3.3.01.08.009,11330108009,1462.5,0.0,1
2022,1,CFC,1.1.3.3.01.10.009,11330110009,11320.65,0.0,1
2022,1,CFC,1.1.3.3.01.16.009,11330116009,18091.49,0.0,1
2022,1,CFC,1.1.3.3.01.17.009,11330117009,4593.17,0.0,1
2022,1,CFC,1.1.3.3.01.21.009,11330121009,2461.19,0.0,1
2022,1,CFC,1.1.3.3.01.23.009,11330123009,61922.5,0.0,1
2022,1,CFC,1.1.3.3.01.27.009,11330127009,699.6600000000001,0.0,2
2022,1,CFC,1.1.3.5.01.04.002,11350104002,6134.19,0.0,1
2022,1,CFC,1.1.3.5.01.04.003,11350104003,4396.48,0.0,1
2022,1,CFC,1.1.3.5.01.04.005,11350104005,10932.78,0.0,1
2022,1,CFC,1.1.3.5.01.04.006,11350104006,16873.46,0.0,1
2022,1,CFC,1.1.4.1.01.01.001,11410101001,0.0,1870.28,1
2022,1,CFC,1.1.4.1.01.01.013,11410101013,0.0,289.65,1
2022,1,CFC,1.1.4.1.01.01.015,11410101015,0.0,1385.87,1
2022,1,CFC,1.1.4.1.01.01.016,11410101016,0.0,1096.63,1
2022,1,CFC,1.1.4.1.01.01.017,11410101017,0.0,510.95,1
2022,1,CFC,1.1.4.1.01.01.018,11410101018,0.0,475.0,1
2022,1,CFC,1.1.5.1.01.01.001,11510101001,0.0,316.16,1
